allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E02002572,1158,559,544,1396,1564,1081,,E02000395,871,213,535,1827,1376,1050,,0.123682579,0.08353222,0.070196454,0.15990235,0.123935667,0.246860542
E02002573,1236,549,544,1379,2493,2294,,E02000396,1283,350,563,1789,1723,872,,0.251394916,0.192521877,0.076904648,0.154104364,0.233364869,0.188037013
E06000001,14338,6813,8063,16151,25738,21487,,E02000397,1326,443,778,2883,2083,943,,0.264724117,0.266507558,0.128413991,0.321025328,0.346893724,0.21150033
E02002483,1534,725,719,1904,2699,2015,,E02000398,1582,632,679,1756,1878,775,,0.344079355,0.416865553,0.104695736,0.149069271,0.282245348,0.155981494
E02002484,1730,794,993,1885,2712,2228,,E02000400,1437,623,736,2255,2066,1069,,0.299132052,0.409705648,0.118351701,0.225205981,0.34153264,0.253139458
E02002485,1430,581,701,1438,2050,1694,,E02000401,1408,799,620,1483,1932,812,,0.290142591,0.549721559,0.090560613,0.107415319,0.299274677,0.168208857
E02002487,719,323,655,1217,1436,892,,E02000402,1329,684,646,1620,1796,768,,0.265654061,0.45823389,0.09678965,0.128318584,0.256385998,0.153668209
E02002488,776,419,450,876,1857,1628,,E02000403,1086,425,825,2999,1858,813,,0.19032858,0.252187749,0.139674173,0.338724443,0.27593819,0.168539326
E02002489,1336,626,795,1528,2015,1431,,E02000404,1329,547,786,2563,1725,898,,0.265654061,0.349244232,0.130330618,0.272200183,0.233995585,0.196629213
E02002490,971,437,655,1224,1767,1197,,E02000405,1248,440,360,1637,1933,989,,0.240545567,0.264120923,0.028270244,0.13091242,0.299590035,0.226701917
E02002491,1054,509,523,1116,1677,1686,,E02000406,1230,493,788,2274,1761,795,,0.234965902,0.306284805,0.130809775,0.228104974,0.245348471,0.162590879
E02002492,1100,429,526,1213,1831,1687,,E02000407,1508,701,720,2116,1950,881,,0.321140732,0.471758154,0.114518448,0.203997559,0.30495112,0.191011236
E02002493,794,453,440,865,1943,1925,,E02000408,1648,772,1027,2003,1999,843,,0.364538128,0.528241846,0.188068999,0.186756179,0.320403658,0.178453404
E02002494,1574,653,833,1431,1976,1521,,E02000409,1119,583,613,1593,1584,821,,0.200557967,0.37788385,0.088883565,0.124198962,0.189530117,0.17118308
E02006909,1320,864,773,1454,3775,3583,,E02000410,1083,454,482,1773,1921,988,,0.189398636,0.275258552,0.057498802,0.151663106,0.29580574,0.226371447
E06000002,23493,10178,16536,25796,35429,27687,,E02000411,1712,766,1588,2485,2068,828,,0.384376937,0.523468576,0.322472448,0.260299054,0.342163355,0.173496365
E02002496,1912,863,3424,2871,1929,1058,,E02000412,1023,473,893,2664,1641,815,,0.170799752,0.290373906,0.155965501,0.287610619,0.207505519,0.169200264
E02002497,1176,421,703,1249,1482,1062,,E02000413,1427,685,447,1749,2192,1149,,0.296032238,0.459029435,0.04911356,0.148001221,0.381267739,0.279576999
E02002498,1515,520,1935,2320,1709,994,,E02000414,1321,456,706,2374,1863,832,,0.26317421,0.276849642,0.111164351,0.243362832,0.27751498,0.174818242
E02002499,1640,655,762,1341,1837,1329,,E02000415,1030,337,733,2452,1622,968,,0.172969622,0.182179793,0.117632966,0.255263961,0.201513718,0.219762062
